State_Tribe_Territory,County_Name,FIPS_State,FIPS_County,date,Current_order_status,Order_code,Issuing_Jurisdiction,Stay_at_Home_Order_Recommendation,Effective_date,Expiration_date,Effective_NA_Reason,Expiration_NA_Reason,Date_Signed,Express_Preemption,origin_dataset,County,Source_of_Action,URL,Citation,flag
PA,Adams County,42,1,3/15/2020 0:00,No order found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
PA,Adams County,42,1,3/16/2020 0:00,No order found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
PA,Adams County,42,1,3/17/2020 0:00,No order found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
PA,Adams County,42,1,3/18/2020 0:00,No order found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
PA,Adams County,42,1,3/19/2020 0:00,No order found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
PA,Adams County,42,1,3/20/2020 0:00,No order found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
PA,Adams County,42,1,3/21/2020 0:00,No order found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
PA,Adams County,42,1,3/22/2020 0:00,No order found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
PA,Adams County,42,1,3/23/2020 0:00,No order found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
PA,Adams County,42,1,3/24/2020 0:00,No order found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
PA,Adams County,42,1,3/25/2020 0:00,No order found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
PA,Adams County,42,1,3/26/2020 0:00,No order found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
PA,Adams County,42,1,3/27/2020 0:00,No order found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
PA,Adams County,42,1,3/28/2020 0:00,No order found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
PA,Adams County,42,1,3/29/2020 0:00,No order found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
PA,Adams County,42,1,3/30/2020 0:00,No order found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
PA,Adams County,42,1,3/31/2020 0:00,No order found,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
PA,Adams County,42,1,4/1/2020 0:00,Mandatory - all people,7,PA,Mandatory for all individuals,4/1/2020,4/30/2020,NA,NA,4/1/2020,Local orders moot due to statewide mandate,state.terr,NA,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200401-GOV-Statewide-Stay-at-Home-Order.pdf,"Pa. Exec. Order (Apr. 1, 2020) (SAH Amendment)",2
PA,Adams County,42,1,4/2/2020 0:00,Mandatory - all people,7,PA,Mandatory for all individuals,4/1/2020,4/30/2020,NA,NA,4/1/2020,Local orders moot due to statewide mandate,state.terr,NA,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200401-GOV-Statewide-Stay-at-Home-Order.pdf,"Pa. Exec. Order (Apr. 1, 2020) (SAH Amendment)",2
PA,Adams County,42,1,4/3/2020 0:00,Mandatory - all people,7,PA,Mandatory for all individuals,4/1/2020,4/30/2020,NA,NA,4/1/2020,Local orders moot due to statewide mandate,state.terr,NA,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200401-GOV-Statewide-Stay-at-Home-Order.pdf,"Pa. Exec. Order (Apr. 1, 2020) (SAH Amendment)",2
PA,Adams County,42,1,4/4/2020 0:00,Mandatory - all people,7,PA,Mandatory for all individuals,4/1/2020,4/30/2020,NA,NA,4/1/2020,Local orders moot due to statewide mandate,state.terr,NA,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200401-GOV-Statewide-Stay-at-Home-Order.pdf,"Pa. Exec. Order (Apr. 1, 2020) (SAH Amendment)",2
PA,Adams County,42,1,4/5/2020 0:00,Mandatory - all people,7,PA,Mandatory for all individuals,4/1/2020,4/30/2020,NA,NA,4/1/2020,Local orders moot due to statewide mandate,state.terr,NA,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200401-GOV-Statewide-Stay-at-Home-Order.pdf,"Pa. Exec. Order (Apr. 1, 2020) (SAH Amendment)",2
PA,Adams County,42,1,4/6/2020 0:00,Mandatory - all people,7,PA,Mandatory for all individuals,4/1/2020,4/30/2020,NA,NA,4/1/2020,Local orders moot due to statewide mandate,state.terr,NA,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200401-GOV-Statewide-Stay-at-Home-Order.pdf,"Pa. Exec. Order (Apr. 1, 2020) (SAH Amendment)",2
PA,Adams County,42,1,4/7/2020 0:00,Mandatory - all people,7,PA,Mandatory for all individuals,4/1/2020,4/30/2020,NA,NA,4/1/2020,Local orders moot due to statewide mandate,state.terr,NA,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200401-GOV-Statewide-Stay-at-Home-Order.pdf,"Pa. Exec. Order (Apr. 1, 2020) (SAH Amendment)",2
PA,Adams County,42,1,4/8/2020 0:00,Mandatory - all people,7,PA,Mandatory for all individuals,4/1/2020,4/30/2020,NA,NA,4/1/2020,Local orders moot due to statewide mandate,state.terr,NA,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200401-GOV-Statewide-Stay-at-Home-Order.pdf,"Pa. Exec. Order (Apr. 1, 2020) (SAH Amendment)",2
PA,Adams County,42,1,4/9/2020 0:00,Mandatory - all people,7,PA,Mandatory for all individuals,4/1/2020,4/30/2020,NA,NA,4/1/2020,Local orders moot due to statewide mandate,state.terr,NA,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200401-GOV-Statewide-Stay-at-Home-Order.pdf,"Pa. Exec. Order (Apr. 1, 2020) (SAH Amendment)",2
PA,Adams County,42,1,4/10/2020 0:00,Mandatory - all people,7,PA,Mandatory for all individuals,4/1/2020,4/30/2020,NA,NA,4/1/2020,Local orders moot due to statewide mandate,state.terr,NA,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200401-GOV-Statewide-Stay-at-Home-Order.pdf,"Pa. Exec. Order (Apr. 1, 2020) (SAH Amendment)",2
PA,Adams County,42,1,4/11/2020 0:00,Mandatory - all people,7,PA,Mandatory for all individuals,4/1/2020,4/30/2020,NA,NA,4/1/2020,Local orders moot due to statewide mandate,state.terr,NA,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200401-GOV-Statewide-Stay-at-Home-Order.pdf,"Pa. Exec. Order (Apr. 1, 2020) (SAH Amendment)",2
PA,Adams County,42,1,4/12/2020 0:00,Mandatory - all people,7,PA,Mandatory for all individuals,4/1/2020,4/30/2020,NA,NA,4/1/2020,Local orders moot due to statewide mandate,state.terr,NA,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200401-GOV-Statewide-Stay-at-Home-Order.pdf,"Pa. Exec. Order (Apr. 1, 2020) (SAH Amendment)",2
PA,Adams County,42,1,4/13/2020 0:00,Mandatory - all people,7,PA,Mandatory for all individuals,4/1/2020,4/30/2020,NA,NA,4/1/2020,Local orders moot due to statewide mandate,state.terr,NA,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200401-GOV-Statewide-Stay-at-Home-Order.pdf,"Pa. Exec. Order (Apr. 1, 2020) (SAH Amendment)",2
PA,Adams County,42,1,4/14/2020 0:00,Mandatory - all people,7,PA,Mandatory for all individuals,4/1/2020,4/30/2020,NA,NA,4/1/2020,Local orders moot due to statewide mandate,state.terr,NA,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200401-GOV-Statewide-Stay-at-Home-Order.pdf,"Pa. Exec. Order (Apr. 1, 2020) (SAH Amendment)",2
PA,Adams County,42,1,4/15/2020 0:00,Mandatory - all people,7,PA,Mandatory for all individuals,4/1/2020,4/30/2020,NA,NA,4/1/2020,Local orders moot due to statewide mandate,state.terr,NA,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200401-GOV-Statewide-Stay-at-Home-Order.pdf,"Pa. Exec. Order (Apr. 1, 2020) (SAH Amendment)",2
PA,Adams County,42,1,4/16/2020 0:00,Mandatory - all people,7,PA,Mandatory for all individuals,4/1/2020,4/30/2020,NA,NA,4/1/2020,Local orders moot due to statewide mandate,state.terr,NA,Official,https://www.governor.pa.gov/wp-content/uploads/2020/04/20200401-GOV-Statewide-Stay-at-Home-Order.pdf,"Pa. Exec. Order (Apr. 1, 2020) (SAH Amendment)",2
